row,lvl
0,172903.0
1,171806.0
2,170709.0
3,169612.0
4,168515.0
5,167418.0
6,166321.0
7,165224.0
8,164127.0
9,163030.0
10,161933.0
11,160836.0
12,159739.0
13,158642.0
14,157545.0
15,156448.0
16,155351.0
17,154254.0
18,153157.0
19,152060.0
20,150963.0
21,149866.0
22,148769.0
23,147672.0
24,146575.0
25,145478.0
26,144381.0
27,143284.0
28,142187.0
29,141090.0
30,139993.0
31,138896.0
32,137799.0
33,136702.0
34,135605.0
35,134508.0
36,133411.0
37,132314.0
38,131217.0
39,130120.0
40,129023.0
41,127926.0
42,126829.0
43,125732.0
44,124635.0
45,123538.0
46,122441.0
47,121344.0
48,120247.0
49,119150.0
50,118053.0
51,116956.0
52,115859.0
53,114762.0
54,113665.0
55,112568.0
56,111471.0
57,110374.0
58,109277.0
59,108180.0
60,107083.0
61,105986.0
62,104889.0
63,103792.0
64,102695.0
65,101598.0
66,100501.0
67,99404.0
68,98307.0
69,97210.0
70,96113.0
71,95016.0
72,93919.0
73,92822.0
74,91725.0
75,90628.0
76,89531.0
77,88434.0
78,87337.0
79,86240.0
80,85143.0
81,84046.0
82,82949.0
83,81852.0
84,80755.0
85,79658.0
86,78561.0
87,77464.0
88,76367.0
89,75270.0
90,74173.0
91,73076.0
92,71979.0
93,70882.0
94,69785.0
95,68688.0
96,67591.0
97,66494.0
98,65397.0
99,64300.0
100,63203.0
101,62106.0
102,61009.0
103,59912.0
104,58815.0
105,57718.0
106,56621.0
107,55524.0
108,54427.0
109,53330.0
110,52233.0
111,51136.0
112,50039.0
113,48942.0
114,47845.0
115,46748.0
116,45651.0
117,44554.0
118,43457.0
119,42360.0
120,41263.0
121,40166.0
122,39069.0
123,37972.0
124,36875.0
125,35778.0
126,34681.0
127,33584.0
128,32487.0
129,31390.0
130,30293.0
131,29196.0
132,28099.0
133,27002.0
134,25905.0
135,24808.0
136,23711.0
137,22614.0
138,21517.0
139,20420.0
140,19323.0
141,18226.0
142,17129.0
143,16032.0
144,14935.0
145,13838.0
146,12741.0
147,11644.0
148,10547.0
149,9450.0
150,8353.0
151,7256.0
152,6159.0
153,5062.0
154,3965.0
155,3300.0
156,3300.0
157,3300.0
158,3300.0
159,3300.0
160,3300.0
161,3300.0
162,3300.0
163,3300.0
164,3300.0
165,3300.0
166,3300.0
167,3300.0
168,3300.0
169,3300.0
170,3300.0
171,3300.0
172,3300.0
173,3300.0
174,3300.0
175,3300.0
176,3300.0
177,3300.0
178,3300.0
179,3300.0
180,3300.0
181,3300.0
182,3300.0
183,3300.0
184,3300.0
185,3300.0
186,3300.0
187,3300.0
188,3300.0
189,3300.0
190,3300.0
191,3300.0
192,3300.0
193,3300.0
194,3300.0
195,8465.785714285714
196,9677.42857142857
197,14294.714285714284
198,18912.0
